階層1,階層2,階層3,階層4,内容,チェック
テラス,次の予約がBBQ利用あり,,┗①ガス欠②ぬれてる③電池切れ（電池予備：靴箱左上）,┗①ガス欠②ぬれてる③電池切れ（電池予備：靴箱左上）,
テラス,次の予約がBBQ利用あり,,,コンロに自転車カバーをかけて、足部分をしばる,□
テラス,次の予約がBBQ利用あり,,,BBQセットをキッチンガス台の上に置く（保管場所：1階備品庫、解錠番号007）,□
テラス,次の予約がBBQ利用あり,,↓セット内容↓,↓セット内容↓,
テラス,次の予約がBBQ利用あり,,↓セット内容↓,トング（大）,□
テラス,次の予約がBBQ利用あり,,↓セット内容↓,ハサミ（白）,□
テラス,次の予約がBBQ利用あり,,↓セット内容↓,包丁（カバー付）,□
テラス,次の予約がBBQ利用あり,,↓セット内容↓,まな板（木製）,□
テラス,次の予約がBBQ利用あり,,↓セット内容↓,予備ボンベx2（振って残量チェック）,□
テラス,次の予約がBBQ利用あり,,↓セット内容↓,ゴミ袋（大きい30L）3枚程度,□
テラス,次の予約がBBQ利用あり,,↓セット内容↓,ゴミ袋（小さいやつ）箱ごと,□
テラス,次の予約がBBQ利用あり,,↓セット内容↓,コールマンのランタン,□
テラス,次の予約がBBQ利用あり,,↓セット内容↓,でか照明（コンセント式）,□
テラス,次の予約がBBQ利用あり,,↓セット内容↓,ガスコンロ説明書,□
テラス,次の予約がBBQ利用あり,,↓セット内容↓,注意事項カード（日本語、英語）,□
テラス,次の予約がBBQ利用あり,,写真　追加予定,写真　追加予定,
テラス,次の予約がBBQ利用あり,,[](https://www.notion.so),[](https://www.notion.so),
テラス,次の予約がBBQ利用あり,,,空のボンベに穴あけ（穴あけ器具はボンベの収納ボックス内）,□
テラス,次の予約がBBQ利用あり,,,空のボンベを駐車場のゴミ置場に捨てる,□
テラス,次の予約がBBQなし,,,次の予約がBBQなし,
テラス,次の予約がBBQなし,Ａ、今回はBBQ利用がなかった（作業なし）,,Ａ、今回はBBQ利用がなかった（作業なし）,
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,,コンロにつけているガスの残量チェック,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,,コンロからガスボンベ連結器具を外す,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,,電池を外す,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,,受け皿をセット（水入れない！）,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,,網をセット,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,,コンロに自転車カバーをかけて、足部分をしばる,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,,BBQセットの回収,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,↓セット内容↓,↓セット内容↓,
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,↓セット内容↓,トング（大）,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,↓セット内容↓,ハサミ（白）,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,↓セット内容↓,包丁（カバー付）,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,↓セット内容↓,まな板（木製）,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,↓セット内容↓,予備ボンベx2（振って残量チェック）,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,↓セット内容↓,ゴミ袋（大きい30）3枚程度,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,↓セット内容↓,ゴミ袋（小さいやつ）箱ごと,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,↓セット内容↓,コールマンのランタン,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,↓セット内容↓,照明器具（コンセント式）,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,↓セット内容↓,ガスコンロ説明書,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,↓セット内容↓,注意事項カード（日本語、英語）,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,↓セット内容↓,＋ガスボンベ連結器具,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,↓セット内容↓,＋使用中ボンベx2（振って残量チェック）,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,↓セット内容↓,＋電池,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,↓セット内容↓,BBQセットを1階備品庫におさめる（解錠番号007）,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,↓セット内容↓,空のボンベに穴あけ（穴あけ器具はボンベの収納ボックス内）,□
テラス,次の予約がBBQなし,Ｂ、今回はBBQ利用があった ↓↓↓↓↓,↓セット内容↓,空のボンベを駐車場のゴミ置場に捨てる,□
テラス,写真（テラス）,,,写真（テラス）,
テラス,写真（テラス）,![20250912_141700 (1).jpg](20250912_141700_(1).jpg),,![20250912_141700 (1).jpg](20250912_141700_(1).jpg),
テラス,写真（テラス）,![20250926_070705.jpg](20250926_070705.jpg),,![20250926_070705.jpg](20250926_070705.jpg),
テラス,写真（テラス）,![20251002_072555.jpg](20251002_072555.jpg),,![20251002_072555.jpg](20251002_072555.jpg),
テラス,写真（テラス）,![20250926_070710.jpg](20250926_070710.jpg),,![20250926_070710.jpg](20250926_070710.jpg),
テラス,写真（テラス）,![20250926_070716.jpg](20250926_070716.jpg),,![20250926_070716.jpg](20250926_070716.jpg),
テラス,写真（テラス）,![20251002_072542.jpg](20251002_072542.jpg),,![20251002_072542.jpg](20251002_072542.jpg),
2階ベランダ（テラス側）,,,,2階ベランダ（テラス側）,
2階ベランダ（テラス側）,,,,鳥の糞除去（濡らしたティッシュなどで拭き掃除）,□
2階ベランダ（テラス側）,,,,虫の死骸除去,□
2階ベランダ（テラス側）,,,,クモの巣（クモがいたら殺す。くも用スプレーの使用も可）,□
2階ベランダ（テラス側）,,,,ゴミ拾い,□
2階ベランダ（テラス側）,,,,屋外スリッパの整頓（スリッパ大2個）,□
2階ベランダ（テラス側）,,,,テーブルとイスの整頓,□
2階ベランダ（テラス側）,,,,ほうきの整頓,□
2階ベランダ（テラス側）,写真（2階ベランダ（テラス側））,,,写真（2階ベランダ（テラス側））,
2階ベランダ（テラス側）,写真（2階ベランダ（テラス側））,![20250912_141651 (1).jpg](20250912_141651_(1).jpg),,![20250912_141651 (1).jpg](20250912_141651_(1).jpg),
敷地内（テラスとベランダ以外）,,,,敷地内（テラスとベランダ以外）,
敷地内（テラスとベランダ以外）,,,,敷地内のゴミ掃除,□
敷地内（テラスとベランダ以外）,,,,落ち葉や虫の死骸の清掃,□
敷地内（テラスとベランダ以外）,,,,雑草チェック,□
敷地内（テラスとベランダ以外）,,,,（除草剤散布）毎回は不要,□
敷地内（テラスとベランダ以外）,,,,（草抜き）毎回は不要,□
最初に室内全体のチェック,,,,最初に室内全体のチェック,
最初に室内全体のチェック,【エアコン使用してください】,,,【エアコン使用してください】,
最初に室内全体のチェック,【音楽などお聴きください】,,,【音楽などお聴きください】,
最初に室内全体のチェック,【Wi-Fiご利用いただけます】,,,【Wi-Fiご利用いただけます】,
最初に室内全体のチェック,【Wi-Fiご利用いただけます】,,,全部屋　写真か動画を撮影（損害あり → 西山へ）,□
最初に室内全体のチェック,【Wi-Fiご利用いただけます】,,,写真はLINEグループのアルバムへ,□
最初に室内全体のチェック,【Wi-Fiご利用いただけます】,,,タバコのにおいチェック（あり → 西山へ）,□
最初に室内全体のチェック,換気（ドアを開ける,,,換気（ドアを開ける,
最初に室内全体のチェック,換気（ドアを開ける,,,和室押入,□
最初に室内全体のチェック,換気（ドアを開ける,,,1階備品庫（番号007）,□
最初に室内全体のチェック,換気（ドアを開ける,,,キッチン換気扇　常時ON,□
最初に室内全体のチェック,換気（ドアを開ける,,,脱衣所収納,□
最初に室内全体のチェック,換気（ドアを開ける,,,お風呂換気扇　常時ON,□
最初に室内全体のチェック,換気（ドアを開ける,,,タオル集め（トイレx2、キッチンx1、洗面所x1、脱衣所人数分）,□
最初に室内全体のチェック,換気（ドアを開ける,,,シーツ集め（2階和室マットも見ること）,□
2階ベランダ（和室側）,,,,2階ベランダ（和室側）,
2階ベランダ（和室側）,,,,障子破れていない？（補修キット用意する予定）,□
2階ベランダ（和室側）,,,,鳥の糞除去（濡らしたティッシュなどで拭き掃除）,□
2階ベランダ（和室側）,,,,虫の死骸除去,□
2階ベランダ（和室側）,,,,クモの巣（クモがいたら殺す。くも用スプレーの使用も可）,□
2階ベランダ（和室側）,,,,ゴミ拾い,□
2階ベランダ（和室側）,,,,スリッパなしが正解,□
2階ベランダ（和室側）,,,,テーブルとイスなしが正解,□
2階ベランダ（和室側）,,,,窓を施錠,□
2階ベランダ（和室側）,,,,障子を閉める,□
2階リビング,,,,2階リビング,
2階リビング,,,,冷蔵庫の中チェック（空にする）,□
2階リビング,補充（都度）,,,補充（都度）,
2階リビング,補充（都度）,,,ティッシュ,□
2階リビング,補充（都度）,,,殺虫スプレー,□
2階リビング,補充（都度）,,,コロコロ,□
2階リビング,補充（都度）,,,マモルーム（ゴキブリ忌避）,□
2階リビング,補充（都度）,,,ダニスプレー,□
2階リビング,補充（都度）,,,ゴミの回収,□
2階リビング,補充（都度）,,,ゴミ箱の中に予備のゴミ袋あるか？5枚程度（30L）,□
2階リビング,補充（都度）,,,ゴミ箱にゴミ袋（30L）を装着,□
2階リビング,補充（都度）,,,おもちゃ片付け（除菌シート、ほこり取り）,□
2階リビング,補充（都度）,,,エアコンリモコン（黒）電池ある？,□
2階リビング,補充（都度）,,,カウンター照明リモコン電池ある？,□
2階リビング,ほこり取り,,,ほこり取り,
2階リビング,ほこり取り,,,エアコン,□
2階リビング,ほこり取り,,,煙感知器,□
2階リビング,ほこり取り,,,分電盤,□
2階リビング,ほこり取り,,,カウンター照明,□
2階リビング,ほこり取り,,,カウンターイスの足,□
2階リビング,ほこり取り,,,換気扇,□
2階リビング,ほこり取り,,,窓の木額縁、3か所,□
2階リビング,ほこり取り,,,窓サッシ3か所　虫除去,□
2階リビング,マド拭き掃除（窓用シート）,,,マド拭き掃除（窓用シート）,
2階リビング,マド拭き掃除（窓用シート）,,,テラス側マド　※必須,□
2階リビング,マド拭き掃除（窓用シート）,,,カウンター側マド（指紋、クモの巣、フン）,□
2階リビング,マド拭き掃除（窓用シート）,,,和室側マド（指紋、クモの巣、フン）,□
2階リビング,拭き掃除（除菌シート）,,,拭き掃除（除菌シート）,
2階リビング,拭き掃除（除菌シート）,,,カウンター,□
2階リビング,拭き掃除（除菌シート）,,,テーブル,□
2階リビング,拭き掃除（除菌シート）,,,エアコンリモコン,□
2階リビング,拭き掃除（除菌シート）,,,カウンター照明リモコン,□
2階リビング,2階和室のマットレス,,,2階和室のマットレス,
2階リビング,A、グレーのカバーのとき（掛ふとんと枕なし）,,,A、グレーのカバーのとき（掛ふとんと枕なし）,
2階リビング,A、グレーのカバーのとき（掛ふとんと枕なし）,グレーカバー,,グレーカバー,
2階リビング,A、グレーのカバーのとき（掛ふとんと枕なし）,グレーカバー,,コロコロかける,□
2階リビング,A、グレーのカバーのとき（掛ふとんと枕なし）,グレーカバー,,カバー汚れがひどいときは洗濯,□
2階リビング,A、グレーのカバーのとき（掛ふとんと枕なし）,グレーカバー,,代わりは1階和室引き出し一番下に、色違いがある。,□
2階リビング,A、グレーのカバーのとき（掛ふとんと枕なし）,防水シーツ（グレーのカバーの下に敷いている）,,防水シーツ（グレーのカバーの下に敷いている）,
2階リビング,A、グレーのカバーのとき（掛ふとんと枕なし）,防水シーツ（グレーのカバーの下に敷いている）,,汚れているときは手洗いして乾かす,□
2階リビング,A、グレーのカバーのとき（掛ふとんと枕なし）,防水シーツ（グレーのカバーの下に敷いている）,,（洗濯機だと機械が壊れます）,□
2階リビング,A、グレーのカバーのとき（掛ふとんと枕なし）,防水シーツ（グレーのカバーの下に敷いている）,,洗濯後、1階和室押入引き出し最下段へ収納,□
2階リビング,A、グレーのカバーのとき（掛ふとんと枕なし）,防水シーツ（グレーのカバーの下に敷いている）,,交換品も同じ場所にある,□
2階リビング,B、ベージュのシーツのとき,,,B、ベージュのシーツのとき,
2階リビング,B、ベージュのシーツのとき,,,ベージュシーツを取り外して洗濯,□
2階リビング,B、ベージュのシーツのとき,グレーのカバーはそのまま装着,,グレーのカバーはそのまま装着,
2階リビング,B、ベージュのシーツのとき,グレーのカバーはそのまま装着,,コロコロかける,□
2階リビング,B、ベージュのシーツのとき,グレーのカバーはそのまま装着,,カバー汚れがひどいときは洗濯,□
2階リビング,B、ベージュのシーツのとき,グレーのカバーはそのまま装着,,代わりは1階和室引き出し一番下に、色違いがある。,□
2階リビング,B、ベージュのシーツのとき,防水シーツ（グレーのカバーの下に敷いている）,,防水シーツ（グレーのカバーの下に敷いている）,
2階リビング,B、ベージュのシーツのとき,防水シーツ（グレーのカバーの下に敷いている）,,汚れているときは手洗いして乾かす,□
2階リビング,B、ベージュのシーツのとき,防水シーツ（グレーのカバーの下に敷いている）,,（洗濯機だと機械が壊れます）,□
2階リビング,B、ベージュのシーツのとき,防水シーツ（グレーのカバーの下に敷いている）,,洗濯後、1階和室押入引き出し最下段へ収納,□
2階リビング,B、ベージュのシーツのとき,防水シーツ（グレーのカバーの下に敷いている）,,交換品も同じ場所にある,□
2階リビング,B、ベージュのシーツのとき,防水シーツ（グレーのカバーの下に敷いている）,,掛け布団x1、枕x2を1階和室の押入へ,□
2階リビング,B、ベージュのシーツのとき,,,次の宿泊者人数を確認（乳幼児を除く）,□
2階リビング,次回3～8人（乳幼児を除く）,,,次回3～8人（乳幼児を除く）,
2階リビング,次回3～8人（乳幼児を除く）,,,グレーのカバーのまま,□
2階リビング,次回1、2、9、10（乳幼児を除く）,,,次回1、2、9、10（乳幼児を除く）,
2階リビング,次回1、2、9、10（乳幼児を除く）,ベッド化する。1階の押入から以下のものを持ってくる,,ベッド化する。1階の押入から以下のものを持ってくる,
2階リビング,次回1、2、9、10（乳幼児を除く）,ベッド化する。1階の押入から以下のものを持ってくる,,セミダブル敷きシーツ　1枚,□
2階リビング,次回1、2、9、10（乳幼児を除く）,ベッド化する。1階の押入から以下のものを持ってくる,,セミダブル掛け布団カバー　1枚,□
2階リビング,次回1、2、9、10（乳幼児を除く）,ベッド化する。1階の押入から以下のものを持ってくる,,セミダブル掛け布団　1枚,□
2階リビング,次回1、2、9、10（乳幼児を除く）,ベッド化する。1階の押入から以下のものを持ってくる,,枕カバー　2枚,□
2階リビング,次回1、2、9、10（乳幼児を除く）,ベッド化する。1階の押入から以下のものを持ってくる,,枕　2個,□
2階リビング,次回1、2、9、10（乳幼児を除く）,1、2名宿泊の時は2階で寝るので、1階和室の寝具は準備する必要なし,,1、2名宿泊の時は2階で寝るので、1階和室の寝具は準備する必要なし,
2階リビング,次回1、2、9、10（乳幼児を除く）,9、10名の場合は1階和室も準備必要,,9、10名の場合は1階和室も準備必要,
2階リビング,次回1、2、9、10（乳幼児を除く）,,,シーツに髪の毛ついてない？,□
2階リビング,コロコロ,,,コロコロ,
2階リビング,コロコロ,,,和室　青でかクッション,□
2階リビング,コロコロ,,,和室　クッション4個,□
2階リビング,コロコロ,,,洋室　ソファ,□
2階リビング,コロコロ,,,洋室　カウンターイス,□
2階リビング,コロコロ,,,畳にクイックルワイパー,□
2階リビング,コロコロ,,,掃除機かけ,□
2階リビング,和室の整頓,,,和室の整頓,
2階リビング,和室の整頓,,,マットレスのシーツ整える（皴なく）,□
2階リビング,和室の整頓,,,クッション4個の位置調整（マットレスの上に）,□
2階リビング,和室の整頓,,,青でかクッションを和室の角に設置,□
2階リビング,和室の整頓,,,青でかクッションの形を整える（皴なく）,□
2階リビング,写真,,,写真,
2階リビング,写真,![20250912_150655.jpg](20250912_150655.jpg),,![20250912_150655.jpg](20250912_150655.jpg),
2階リビング,洋室の整頓,,,洋室の整頓,
2階リビング,洋室の整頓,,,ソファの位置調整,□
2階リビング,洋室の整頓,,,ソファの背もたれ位置調整,□
2階リビング,洋室の整頓,,,テーブルの位置調整,□
2階リビング,洋室の整頓,,,カウンターイスの整頓,□
2階リビング,洋室の整頓,,,冷蔵庫上の整頓（掃除道具、虫対策品）,□
2階リビング,洋室の整頓,,,おもちゃの整頓（カウンター右端）,□
2階リビング,洋室の整頓,,,リモコン2個の整頓（カウンター上、電源タップの横）,□
2階リビング,写真,,,写真,
2階リビング,写真,![20250912_150704.jpg](20250912_150704.jpg),,![20250912_150704.jpg](20250912_150704.jpg),
2階リビング,写真,![20250912_150713.jpg](20250912_150713.jpg),,![20250912_150713.jpg](20250912_150713.jpg),
2階リビング,写真,![20250926_073900(1).jpg](20250926_073900(1).jpg),,![20250926_073900(1).jpg](20250926_073900(1).jpg),
2階リビング,写真,![20250926_073900(2).jpg](20250926_073900(2).jpg),,![20250926_073900(2).jpg](20250926_073900(2).jpg),
2階リビング,写真,![20250926_073900(3).jpg](20250926_073900(3).jpg),,![20250926_073900(3).jpg](20250926_073900(3).jpg),
2階リビング,写真,,,窓閉めた？3か所,□
2階リビング,写真,,,【最終】髪の毛など落ちていない？,□
2階リビング,写真,,,消灯,□
2階リビング,写真,,,ドアは閉めておく（虫侵入対策）,□
2階トイレ,,,,2階トイレ,
2階トイレ,,,,窓サッシの虫除去,□
2階トイレ,拭き取りシート（使い捨て手袋あります）,,,拭き取りシート（使い捨て手袋あります）,
2階トイレ,拭き取りシート（使い捨て手袋あります）,,,【シートは便器に流さない！詰まる】,□
2階トイレ,拭き取りシート（使い捨て手袋あります）,,,窓　木製額縁,□
2階トイレ,拭き取りシート（使い捨て手袋あります）,,,床　全面,□
2階トイレ,拭き取りシート（使い捨て手袋あります）,,,便器　手洗部分（ほこり溜まる,□
2階トイレ,拭き取りシート（使い捨て手袋あります）,,,便座まわり（裏もしっかり,□
2階トイレ,拭き取りシート（使い捨て手袋あります）,,,ノズル（ボタン操作で出てきます,□
2階トイレ,拭き取りシート（使い捨て手袋あります）,,,便器ブラシ掃除（黒ずみなど）,□
2階トイレ,拭き取りシート（使い捨て手袋あります）,,,ゴミ袋(黒)の回収,□
2階トイレ,拭き取りシート（使い捨て手袋あります）,,,ゴミ袋(黒)の装着(便器の裏にストックある,□
2階トイレ,補充,,,補充,
2階トイレ,補充,,,【毎回】ハンドソープ,□
2階トイレ,補充,,,ゴミ袋（黒）,□
2階トイレ,補充,,,トイレットペーパー,□
2階トイレ,補充,,,拭き取りシート,□
2階トイレ,補充,,,便器掃除ブラシの先端,□
2階トイレ,補充,,,消臭スプレー（振って確認）,□
2階トイレ,補充,,,トイレットペーパー三角折り,□
2階トイレ,補充,,,フェイスタオルセット,□
2階トイレ,補充,,,窓閉めた？,□
2階トイレ,補充,,,【髪の毛など落ちていない？】,□
2階トイレ,補充,,,スリッパ整頓,□
2階トイレ,補充,,,消灯,□
2階トイレ,補充,,,ドア開けておく（換気、明り取り）,□
2階トイレ,写真（2階トイレ）,,,写真（2階トイレ）,
2階トイレ,写真（2階トイレ）,![20250926_071950.jpg](20250926_071950.jpg),,![20250926_071950.jpg](20250926_071950.jpg),
2階トイレ,写真（2階トイレ）,![20250926_071938.jpg](20250926_071938.jpg),,![20250926_071938.jpg](20250926_071938.jpg),
2階トイレ,写真（2階トイレ）,![20250926_071955.jpg](20250926_071955.jpg),,![20250926_071955.jpg](20250926_071955.jpg),
1階トイレ,,,,1階トイレ,
1階トイレ,,,,窓サッシの虫除去,□
1階トイレ,拭き取りシート（使い捨て手袋あります）,,,拭き取りシート（使い捨て手袋あります）,
1階トイレ,拭き取りシート（使い捨て手袋あります）,,,【シートは便器に流さない！詰まる】,□
1階トイレ,拭き取りシート（使い捨て手袋あります）,,,窓　木製額縁,□
1階トイレ,拭き取りシート（使い捨て手袋あります）,,,棚板,□
1階トイレ,拭き取りシート（使い捨て手袋あります）,,,床　全面,□
1階トイレ,拭き取りシート（使い捨て手袋あります）,,,便器　手洗部分ほこり溜まる,□
1階トイレ,拭き取りシート（使い捨て手袋あります）,,,便座まわり（裏もしっかり,□
1階トイレ,拭き取りシート（使い捨て手袋あります）,,,ノズル（ボタン操作で出てきます,□
1階トイレ,拭き取りシート（使い捨て手袋あります）,,,便器ブラシ掃除（黒ずみなど）,□
1階トイレ,拭き取りシート（使い捨て手袋あります）,,,ゴミ袋(黒)の回収,□
1階トイレ,拭き取りシート（使い捨て手袋あります）,,,ゴミ袋(黒)の装着(便器の裏にストックある,□
1階トイレ,補充,,,補充,
1階トイレ,補充,,,【毎回】ハンドソープ,□
1階トイレ,補充,,,ゴミ袋（黒）,□
1階トイレ,補充,,,トイレットペーパー,□
1階トイレ,補充,,,拭き取りシート,□
1階トイレ,補充,,,便器掃除ブラシの先端,□
1階トイレ,補充,,,消臭スプレー（振って確認）,□
1階トイレ,補充,,,トイレットペーパー三角折り,□
1階トイレ,補充,,,フェイスタオルセット,□
1階トイレ,補充,,,窓閉めた？,□
1階トイレ,補充,,,【髪の毛など落ちていない？】,□
1階トイレ,補充,,,スリッパ整頓,□
1階トイレ,補充,,,消灯,□
1階トイレ,補充,,,ドア開けておく（換気、明り取り）,□
1階トイレ,写真（1階トイレ）,,,写真（1階トイレ）,
1階トイレ,写真（1階トイレ）,![20250908_153007 (1).jpg](20250908_153007_(1).jpg),,![20250908_153007 (1).jpg](20250908_153007_(1).jpg),
2階廊下,,,,2階廊下,
2階廊下,ほこり取り,,,ほこり取り,
2階廊下,ほこり取り,,,照明器具,□
2階廊下,ほこり取り,,,消火器,□
2階廊下,ほこり取り,,,掃除機かけ,□
2階廊下,ほこり取り,,,ほうきちりとり整頓,□
2階廊下,ほこり取り,,,消火器　位置調整,□
2階廊下,ほこり取り,,,ベビーゲートは開けたままにする,□
2階廊下,ほこり取り,,,備品庫（2階和室）のカギを締める（番号007）,□
2階廊下,ほこり取り,,,髪の毛、小石など落ちていない？,□
階段,,,,階段,
階段,（綿壁触れないよう注意）,,,（綿壁触れないよう注意）,
階段,（綿壁触れないよう注意）,,,手すり拭き掃除（除菌シート）,□
階段,（綿壁触れないよう注意）,,,ほうき　または　掃除機（2階の掃除機のほうが取り回しがラク,□
階段,（綿壁触れないよう注意）,,,階段のヘリも掃除機かけ,□
階段,（綿壁触れないよう注意）,,,小石や砂が落ちていない？,□
1階和室,,,,1階和室,
1階和室,,,,押入の扉すべて開けて換気,□
1階和室,,,,洗ってきたシーツの収納,□
1階和室,リモコン3種類あるか？電池は？,,,リモコン3種類あるか？電池は？,
1階和室,リモコン3種類あるか？電池は？,,,和室1,□
1階和室,リモコン3種類あるか？電池は？,,,和室2,□
1階和室,リモコン3種類あるか？電池は？,,,ハンガー数量チェック（大10、中10、ズボン6）,□
1階和室,補充（都度）,,,補充（都度）,
1階和室,補充（都度）,,,マモルーム（ゴキブリ忌避）,□
1階和室,補充（都度）,,,ファブリーズ,□
1階和室,窓サッシの虫の死骸除去,,,窓サッシの虫の死骸除去,
1階和室,窓サッシの虫の死骸除去,,,和室1,□
1階和室,窓サッシの虫の死骸除去,,,和室2,□
1階和室,窓サッシの虫の死骸除去,,,マド拭き掃除（窓用シート）玄関棚の中,□
1階和室,窓サッシの虫の死骸除去,,,入って左側の窓ガラス（指紋、クモの巣、フン）,□
1階和室,窓サッシの虫の死骸除去,,,テラス側の窓ガラス（指紋、クモの巣、フン）,□
1階和室,ほこり取り,,,ほこり取り,
1階和室,ほこり取り,,,エアコン上,□
1階和室,ほこり取り,,,長押（なげし）,□
1階和室,ほこり取り,,,欄間（らんま）,□
1階和室,ほこり取り,,,照明,□
1階和室,ほこり取り,,,タンスの上,□
1階和室,ほこり取り,,,床の間の棚,□
1階和室,ほこり取り,,,床の間のほこり溜まる部分,□
